cfb,9705598,8299,145,282
cfc,9986623,7554,197,340
cfd,9794830,8519,29,60
cfe,9981920,8532,124,176
cff,9914756,9920,15,35
cfg,9889855,9208,14,35
cga,9872716,9198,74,169
cgb,9984244,9495,44,225
cgc,9817099,8404,226,385
cgd,9886451,8724,253,368
cge,9770948,8625,155,223
cgf,9996396,8609,33,64
cgg,9898037,8671,54,96
daa,9451097,9170,98,142
dab,9904839,8969,97,209
dac,9998242,9101,545,990
dad,9906058,8967,20,54
dae,9926753,9477,126,341
daf,9913829,8778,80,142
dag,9908948,10874,93,183
dba,9740677,9546,77,130
dbb,9967431,8676,59,127
dbc,9943313,9088,17,60
dbd,9862782,10034,121,205
dbe,9695023,9007,34,104
dbf,9845043,8523,83,119
dbg,9981359,8598,100,160
dca,9989593,9265,165,308
dcb,9708438,8736,114,166
dcc,9870425,8436,120,224
dcd,9940833,6819,35,71
dce,9940491,9325,5,7
dcf,9820392,8675,37,143
dcg,9927347,8786,210,309
dda,9929889,7740,141,215
ddb,9331117,9873,52,73
ddc,9120593,9346,84,206
ddd,9941528,11227,102,156
dde,9968266,9011,6,14
ddf,9999042,9799,306,879
ddg,9907522,8952,98,198
dea,9930032,7422,449,793
deb,9984877,10186,25,69
dec,9949836,9234,10,31
ded,9969490,8234,5,6
dee,9562508,10024,6,15
def,9939480,8952,294,377
deg,9971222,8830,110,181
dfa,9916845,8406,238,336
dfb,9982727,9140,115,293
dfc,9984366,8272,304,676
dfd,9576048,9554,130,221
dfe,9884151,8991,276,552
dff,9966738,11200,196,359
dfg,9840493,8860,72,147
dga,9812103,10429,275,447
dgb,9959359,10000,172,252
dgc,9954684,9529,219,457
dgd,9617396,8088,286,402
dge,9668516,7873,80,187
dgf,9444106,10480,164,254
dgg,9946312,9379,404,721
eaa,9634071,8715,36,159
eab,9824400,7849,107,158
eac,9851841,9405,68,114
ead,9902659,7712,11,45
eae,9975764,9252,63,146
eaf,9948321,8685,554,956
eag,9912917,9832,216,364
eba,9873798,10124,91,147
ebb,9969553,8217,16,39
ebc,9645439,10164,43,80
ebd,9915255,6969,127,322
ebe,9863097,10545,166,311
ebf,9981420,7027,56,97
ebg,9736290,9131,321,589
eca,9760104,8219,155,279
ecb,9253041,10574,151,212
ecc,9988794,7558,14,31
ecd,9906230,7979,50,114
ece,9935624,8454,134,250
ecf,9557151,8129,5,13
ecg,9776319,8878,238,521
eda,9992583,9186,19,95
edb,9919117,8121,73,130
edc,9737803,10704,29,138
edd,9892630,8491,53,134
ede,9986192,10972,123,216
edf,9917300,8821,72,106
edg,9959968,7820,98,210
eea,9983196,8508,32,79
eeb,9959900,9803,103,227
eec,9783246,8942,50,126
eed,9975741,8430,246,450
eee,9919875,10169,7,21
eef,9765239,7996,110,187
eeg,9734034,10066,78,112
efa,9487797,9071,101,259
efb,9784430,9189,6,22
efc,9919096,7883,108,292
efd,9794460,10970,5,5
efe,9623322,9030,198,310
eff,9919658,7926,5,9
efg,9900349,9099,320,601
ega,9827989,9285,151,197
egb,9992029,8786,51,134
egc,9874171,10553,175,222
egd,9855278,7912,65,101
ege,9864541,9980,6,21
egf,9973735,8384,35,81
egg,9996618,10151,71,228
faa,9965252,9370,52,105
fab,9846430,10126,368,707
fac,9902955,9040,275,410
fad,9948123,10621,90,198
fae,9924696,7981,267,365
faf,9444371,8483,59,106
fag,9929885,7292,29,64
fba,9977429,10057,45,77
fbb,9901259,8441,102,231
fbc,9712320,9415,152,228
fbd,9972271,10704,248,439
fbe,9858925,7685,157,284
fbf,9940474,7909,106,156
fbg,9957601,10444,105,307
fca,9640515,9179,12,36
fcb,9758549,8628,269,594
fcc,9697870,8354,129,211
fcd,9944558,8317,163,245
fce,9834121,7456,123,192
fcf,9972243,8239,26,201
fcg,9950958,9044,63,124
fda,9868249,9380,36,86
fdb,9976494,8738,8,24
fdc,9900033,8366,65,263
fdd,9968456,7996,55,110
fde,9992163,9938,66,217
fdf,9872598,9857,18,32
fdg,9836473,9175,5,9
fea,9917296,7746,9,29
feb,9999057,8834,251,375
fec,9960338,8961,186,294
fed,9747389,9990,38,75
fee,9705967,9366,96,194
fef,9997798,8678,199,387
feg,9999698,8375,33,90
ffa,9732533,8395,19,45
ffb,9800465,8885,111,188
ffc,9950966,9750,261,386
ffd,9813486,9367,175,242
ffe,9945640,8981,230,416
fff,9954562,8325,172,239
ffg,9778056,9607,367,570
fga,9881063,8781,13,53
fgb,9935444,8971,7,19
fgc,9952296,9341,24,58
fgd,9966924,9021,117,227
fge,9962819,10114,72,150
fgf,9789411,8467,142,242
fgg,9957423,6569,250,318
gaa,9985928,8100,117,177
gab,9865489,9495,12,45
gac,9957984,9177,102,166
gad,9872907,9557,5,7
gae,9548178,9719,111,172
gaf,9891743,9946,89,289
gag,9946577,7751,259,355
gba,9729006,7050,86,143
gbb,9980372,7726,173,239
gbc,9980872,11337,112,285
gbd,9931062,8231,127,221
gbe,9971590,10139,287,531
gbf,9949863,10480,46,113
gbg,9886767,8851,147,260
gca,9219555,9420,85,135
gcb,9882762,9347,82,183
gcc,9735697,9305,55,168
gcd,9968332,7055,161,258
gce,9999292,8076,98,212
gcf,9570015,9348,117,243
gcg,9945234,10418,57,120
gda,9963901,7740,6,12
gdb,9576903,9384,69,187
gdc,9995665,9635,5,8
gdd,9949054,7082,20,49
gde,9648966,8539,134,356
gdf,9954647,7751,19,51
gdg,9940852,8078,35,92
gea,9857693,9366,163,301
geb,9907563,9641,449,890
gec,9872915,10715,117,279
ged,9716519,8440,123,189
gee,9755562,8454,117,297
gef,9704400,8863,9,34
geg,9944658,10253,184,279
gfa,9991184,8243,121,183
gfb,9749257,10177,33,101
gfc,9557949,10451,106,152
gfd,9806429,6484,101,269
gfe,9855704,9076,75,241
gff,9920574,10127,23,65
gfg,9983416,7667,280,401
gga,9908317,8985,243,379
ggb,9726006,10292,303,431
ggc,9667293,8003,228,454
ggd,9783562,9070,21,40
gge,9988318,9067,23,50
ggf,9936040,7713,33,89
ggg,9896157,9373,163,309
